ID,name,behaviorTypes,spawnBehavior,healthPoints,maxDamage,debutDate,minecraftVersion,reproductiveRequirement
1,sniffer_egg,Peaceful,Player Summoned,0,0,2023-06-07T00:00:00,1.20.0,
2,turtle_egg,Peaceful,Player Summoned,0,0,2018-07-18T00:00:00,1.13.0,
3,bat,Peaceful,Random,6,,2012-10-25T00:00:00,1.4.2,
4,blaze,Hostile,On Load,20,6,2011-11-18T00:00:00,1.0.0,
5,chicken,Peaceful,Random,4,,2011-11-18T00:00:00,1.0.0,Wheat Seeds
6,dolphin,Conditional,Random,10,3,2018-07-18T00:00:00,1.13.0,
7,endermite,Hostile,Player Summoned,8,2,2014-09-02T00:00:00,1.8.0,
8,guardian,Hostile,On Load,30,6,2014-09-02T00:00:00,1.8.0,
9,guardian_elder,Hostile,On Load,80,8,2014-09-02T00:00:00,1.8.0,
10,phantom,Hostile,Night,20,2,2018-07-18T00:00:00,1.13.0,
11,silverfish,Hostile,On Load,8,1,2011-11-18T00:00:00,1.0.0,
12,snow_golem,Peaceful,Player Summoned,4,3,2011-11-18T00:00:00,1.0.0,
13,wandering_trader,Peaceful,Random,20,,2019-04-23T00:00:00,1.14.0,
14,witch,Hostile,Night,26,6,2012-10-25T00:00:00,1.4.2,
15,allay,Peaceful,Random,20,,2022-06-07T00:00:00,1.19.0,
16,axolotl,Peaceful,Random,14,2,2021-06-08T00:00:00,1.17.0,Bucket of Tropical Fish
17,polarbear,Conditional,Random,30,6,2016-06-08T00:00:00,1.10.0,
18,bee,Conditional,Random,10,2,2019-12-10T00:00:00,1.15.0,Dandelion
19,camel,Peaceful,Random,32,,2023-06-07T00:00:00,1.20.0,Cactus
20,cat,Peaceful,Random,10,3,2012-03-01T00:00:00,1.2.1,Raw Salmon
21,cow,Peaceful,Random,10,,2011-11-18T00:00:00,1.0.0,Wheat
22,mooshroom,Peaceful,Random,10,,2011-11-18T00:00:00,1.0.0,Wheat
23,creeper,Hostile,Night,20,43,2011-11-18T00:00:00,1.0.0,
24,dragon,Hostile,Player Summoned,200,10,2011-11-18T00:00:00,1.0.0,
25,enderman,Conditional,Night,40,7,2011-11-18T00:00:00,1.0.0,
26,cod,Peaceful,Random,3,,2018-07-18T00:00:00,1.13.0,
27,pufferfish,Peaceful,Random,3,3,2018-07-18T00:00:00,1.13.0,
28,salmon,Peaceful,Random,3,,2018-07-18T00:00:00,1.13.0,
29,tropical fish,Peaceful,Random,3,,2018-07-18T00:00:00,1.13.0,
30,fox,Peaceful,Random,10,2,2019-04-23T00:00:00,1.14.0,Sweet Berries
31,frog,Peaceful,Random,10,,2022-06-07T00:00:00,1.19.0,SlimeBall
32,ghast,Hostile,Random,10,17,2011-11-18T00:00:00,1.0.0,
33,goat,Peaceful,Random,10,2,2021-06-08T00:00:00,1.17.0,Wheat
