item_name,item_category,primary_stat,stat_label,type,debutDate,minecraftVersion
cooked_chicken,Food,6.0,Hunger Restored,Animal,2011-11-18T00:00:00,1.0.0
cookie,Food,2.0,Hunger Restored,Plant,2011-11-18T00:00:00,1.0.0
apple,Food,4.0,Hunger Restored,Plant,2011-11-18T00:00:00,1.0.0
melon_slice,Food,2.0,Hunger Restored,Plant,2011-11-18T00:00:00,1.0.0
milk_bucket,Food,0.0,Hunger Restored,Animal,2011-11-18T00:00:00,1.0.0
mushroom_stew,Food,6.0,Hunger Restored,Plant,2011-11-18T00:00:00,1.0.0
cooked_porkchop,Food,8.0,Hunger Restored,Animal,2011-11-18T00:00:00,1.0.0
bread,Food,5.0,Hunger Restored,Plant,2011-11-18T00:00:00,1.0.0
porkchop,Food,3.0,Hunger Restored,Animal,2011-11-18T00:00:00,1.0.0
golden_apple,Food,4.0,Hunger Restored,Plant,2011-11-18T00:00:00,1.0.0
cooked_beef,Food,8.0,Hunger Restored,Animal,2011-11-18T00:00:00,1.0.0
cod,Food,2.0,Hunger Restored,Animal,2011-11-18T00:00:00,1.0.0
chicken,Food,2.0,Hunger Restored,Animal,2011-11-18T00:00:00,1.0.0
rotten_flesh,Food,4.0,Hunger Restored,Animal,2011-11-18T00:00:00,1.0.0
beef,Food,3.0,Hunger Restored,Animal,2011-11-18T00:00:00,1.0.0
cooked_cod,Food,5.0,Hunger Restored,Animal,2011-11-18T00:00:00,1.0.0
cake,Food,1.0,Hunger Restored,Plant,2012-02-29T00:00:00,1.2.0
carrot,Food,3.0,Hunger Restored,Plant,2012-10-25T00:00:00,1.4.2
poisonous_potato,Food,2.0,Hunger Restored,Plant,2012-10-25T00:00:00,1.4.2
baked_potato,Food,5.0,Hunger Restored,Plant,2012-10-25T00:00:00,1.4.2
potato,Food,1.0,Hunger Restored,Animal,2012-10-25T00:00:00,1.4.2
golden_carrot,Food,6.0,Hunger Restored,Plant,2012-10-25T00:00:00,1.4.2
pumpkin_pie,Food,8.0,Hunger Restored,Plant,2012-10-25T00:00:00,1.4.2
cooked_salmon,Food,6.0,Hunger Restored,Animal,2013-10-25T00:00:00,1.7.2
tropical_fish,Food,1.0,Hunger Restored,Animal,2013-10-25T00:00:00,1.7.2
salmon,Food,2.0,Hunger Restored,Animal,2013-10-25T00:00:00,1.7.2
cooked_rabbit,Food,5.0,Hunger Restored,Animal,2014-09-02T00:00:00,1.8.0
mutton,Food,2.0,Hunger Restored,Animal,2014-09-02T00:00:00,1.8.0
cooked_mutton,Food,6.0,Hunger Restored,Animal,2014-09-02T00:00:00,1.8.0
rabbit,Food,3.0,Hunger Restored,Animal,2014-09-02T00:00:00,1.8.0
rabbit_stew,Food,10.0,Hunger Restored,Animal,2014-09-02T00:00:00,1.8.0
beetroot,Food,1.0,Hunger Restored,Plant,2016-02-29T00:00:00,1.9.0
chorus_fruit,Food,4.0,Hunger Restored,Plant,2016-02-29T00:00:00,1.9.0
beetroot_soup,Food,6.0,Hunger Restored,Plant,2016-02-29T00:00:00,1.9.0
dried_kelp,Food,1.0,Hunger Restored,Plant,2018-07-18T00:00:00,1.13.0
suspicious_stew,Food,6.0,Hunger Restored,Animal,2019-04-23T00:00:00,1.14.0
sweet_berries,Food,2.0,Hunger Restored,Plant,2019-04-23T00:00:00,1.14.0
honey_bottle,Food,6.0,Hunger Restored,Animal,2019-12-10T00:00:00,1.15.0
glow_berries,Food,2.0,Hunger Restored,Plant,2021-06-08T00:00:00,1.17.0
amethyst_shard,Ingredient,,,Ingredient,2021-06-08T00:00:00,1.17.0
angler_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
archer_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
arms_up_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
black_dye,Ingredient,,,Ingredient,2019-04-23T00:00:00,1.14.0
blade_pottery_sherd,Ingredient,,,Ingredient,2023-06-07T00:00:00,1.20.0
blaze_powder,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
blaze_rod,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
blue_dye,Ingredient,,,Ingredient,2019-04-23T00:00:00,1.14.0
bone,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
bone_meal,Ingredient,,,Ingredient,2011-11-18T00:00:00,1.0.0
