ID,name,dimensionID,treesOrGrass,generateStructures,minecraftVersion,precipitation,dimension_name,biomeID_x,num_mobs,biomeID_y,num_blocks,num_flora,biodiversity_score
1,badlands,1,1,1,1.7.2,,Overworld,1,18,1.0,40,2,60
2,bamboo_jungle,1,1,1,1.14.0,Rain,Overworld,2,20,2.0,34,5,59
3,basalt_deltas,2,0,1,1.16.0,,Nether,3,7,3.0,5,2,14
4,beach,1,0,1,1.0.0,Rain,Overworld,4,20,4.0,34,1,55
5,birch_forest,1,1,0,1.7.2,Rain,Overworld,5,19,5.0,34,10,63
6,cherry_grove,1,1,1,1.2.0,Rain,Overworld,6,20,6.0,34,8,62
7,cold_ocean,1,0,1,1.13.0,Rain,Overworld,7,4,7.0,30,4,38
8,crimson_forest,2,1,1,1.16.0,,Nether,8,8,8.0,9,6,23
9,dark_forest,1,1,1,1.7.2,Rain,Overworld,9,21,9.0,39,13,73
10,deep_cold_ocean,1,0,1,1.13.0,Rain,Overworld,10,6,10.0,32,4,42
11,deep_dark,1,0,1,1.19.0,Rain,Overworld,11,18,11.0,47,0,65
12,deep_frozen_ocean,1,0,1,1.13.0,Rain,Overworld,12,6,12.0,32,1,39
13,deep_lukewarm_ocean,1,0,1,1.13.0,Rain,Overworld,13,8,13.0,31,4,43
14,deep_ocean,1,0,1,1.7.2,Rain,Overworld,14,6,14.0,31,4,41
15,desert,1,0,1,1.0.0,,Overworld,15,24,15.0,38,5,67
16,dripstone_caves,1,0,1,1.17.0,Rain,Overworld,16,19,16.0,33,1,53
17,end_barrens,3,0,1,1.13.0,,End,17,2,17.0,2,0,4
18,end_highlands,3,0,1,1.13.0,,End,18,3,18.0,3,1,7
19,end_midlands,3,0,1,1.13.0,,End,19,3,19.0,2,0,5
20,eroded_badlands,1,0,1,1.7.2,,Overworld,20,18,20.0,38,1,57
21,flower_forest,1,1,0,1.7.2,Rain,Overworld,21,20,21.0,34,19,73
22,forest,1,1,1,1.0.0,Rain,Overworld,22,20,22.0,38,22,80
23,frozen_ocean,1,0,1,1.0.0,Snow,Overworld,23,5,23.0,31,1,37
24,frozen_peaks,1,0,1,1.18.0,Snow,Overworld,24,18,24.0,31,1,50
25,frozen_river,1,0,0,1.0.0,Snow,Overworld,25,22,25.0,31,1,54
26,grove,1,1,1,1.18.0,Snow,Overworld,26,21,26.0,35,5,61
27,ice_spikes,1,0,0,1.7.2,Snow,Overworld,27,20,27.0,32,0,52
28,jagged_peaks,1,0,1,1.18.0,Snow,Overworld,28,19,28.0,31,1,51
29,jungle,1,1,1,1.2.1,Rain,Overworld,29,20,29.0,33,11,64
30,lukewarm_ocean,1,0,1,1.13.0,Rain,Overworld,30,6,30.0,29,4,39
31,lush_caves,1,1,1,1.17.0,Rain,Overworld,31,20,31.0,35,8,63
32,mangrove_swamp,1,1,0,1.19.0,Rain,Overworld,32,22,32.0,38,7,67
33,meadow,1,1,1,1.18.0,Rain,Overworld,33,24,33.0,35,13,72
34,mushroom_fields,1,1,0,1.0.0,Rain,Overworld,34,19,34.0,36,5,60
35,nether_wastes,2,0,1,1.0.0,,Nether,35,9,35.0,8,3,20
36,ocean,1,0,1,1.0.0,Rain,Overworld,36,4,36.0,30,4,38
37,old_growth_birch_forest,1,1,1,1.7.2,Rain,Overworld,37,19,37.0,34,4,57
38,old_growth_pine_taiga,1,1,1,1.7.2,Rain,Overworld,38,21,38.0,35,7,63
39,old_growth_spruce_taiga,1,1,1,1.7.2,Rain,Overworld,39,21,39.0,35,7,63
40,plains,1,1,1,1.0.0,Rain,Overworld,40,24,40.0,40,19,83
41,river,1,0,0,1.0.0,Rain,Overworld,41,20,41.0,32,3,55
42,savanna,1,1,1,1.7.2,,Overworld,42,23,42.0,37,6,66
43,savanna_plateau,1,1,0,1.7.2,,Overworld,43,20,43.0,33,4,57
44,small_end_islands,3,0,1,1.13.0,,End,44,2,44.0,2,0,4
45,snowy_beach,1,0,1,1.1.0,Snow,Overworld,45,19,45.0,32,0,51
46,snowy_plains,1,1,1,1.0.0,Snow,Overworld,46,24,46.0,35,3,62
47,snowy_slopes,1,0,1,1.18.0,Snow,Overworld,47,20,47.0,34,0,54
48,snowy_taiga,1,1,1,1.1.0,Snow,Overworld,48,24,48.0,38,6,68
49,soul_sand_valley,2,0,1,1.16.0,,Nether,49,3,49.0,8,2,13
50,sparse_jungle,1,1,0,1.7.2,Rain,Overworld,50,20,50.0,33,6,59
51,stony_peaks,1,0,1,1.18.0,Rain,Overworld,51,18,51.0,32,1,51
52,stony_shore,1,0,0,1.0.0,Rain,Overworld,52,18,52.0,31,0,49
53,sunflower_plains,1,1,1,1.7.2,Rain,Overworld,53,24,53.0,34,4,62
54,swamp,1,1,1,1.0.0,Rain,Overworld,54,20,54.0,36,9,65
55,taiga,1,1,1,1.0.0,Rain,Overworld,55,24,55.0,36,13,73
56,the_end,3,0,1,1.0.0,,End,56,3,56.0,1,0,4
57,the_void,3,0,0,1.0.0,,End,57,1,,0,0,1
58,warm_ocean,1,0,1,1.13.0,Rain,Overworld,58,8,58.0,39,24,71
59,warped_forest,2,1,1,1.16.0,,Nether,59,5,59.0,10,7,22
60,windswept_forest,1,1,0,1.1.0,Rain,Overworld,60,19,60.0,32,4,55
61,windswept_gravelly_hills,1,0,0,1.1.0,Rain,Overworld,61,19,61.0,30,1,50
62,windswept_hills,1,1,0,1.1.0,Rain,Overworld,62,20,62.0,30,1,51
63,windswept_savanna,1,1,0,1.7.2,,Overworld,63,21,63.0,33,3,57
64,wooded_badlands,1,1,1,1.7.2,,Overworld,64,18,64.0,40,2,60
