ID,name,behaviorTypes,spawnBehavior,healthPoints,maxDamage,debutDate,minecraftVersion,reproductiveRequirement,mobID_x,num_biomes,mobID_y,food_drops,ingredient_drops,tool_drops,total_drops,danger_score,threat_tier
1,sniffer_egg,Peaceful,Player Summoned,0,0.0,2023-06-07T00:00:00,1.20.0,,1.0,1,,0,1,0,1,0.0,Passive
2,turtle_egg,Peaceful,Player Summoned,0,0.0,2018-07-18T00:00:00,1.13.0,,2.0,1,,0,1,0,1,0.0,Passive
3,bat,Peaceful,Random,6,0.0,2012-10-25T00:00:00,1.4.2,,3.0,40,,0,0,0,0,0.0,Passive
4,blaze,Hostile,On Load,20,6.0,2011-11-18T00:00:00,1.0.0,,4.0,4,,0,1,0,1,120.0,Medium Threat
5,chicken,Peaceful,Random,4,0.0,2011-11-18T00:00:00,1.0.0,Wheat Seeds,5.0,44,5.0,1,3,0,4,0.0,Passive
6,dolphin,Conditional,Random,10,3.0,2018-07-18T00:00:00,1.13.0,,6.0,5,6.0,1,0,0,1,30.0,Low Threat
7,endermite,Hostile,Player Summoned,8,2.0,2014-09-02T00:00:00,1.8.0,,,0,,0,0,0,0,16.0,Low Threat
8,guardian,Hostile,On Load,30,6.0,2014-09-02T00:00:00,1.8.0,,8.0,4,8.0,1,3,0,4,180.0,Medium Threat
9,guardian_elder,Hostile,On Load,80,8.0,2014-09-02T00:00:00,1.8.0,,9.0,4,9.0,1,2,0,3,640.0,High Threat
10,phantom,Hostile,Night,20,2.0,2018-07-18T00:00:00,1.13.0,,10.0,97,,0,1,0,1,40.0,Low Threat
11,silverfish,Hostile,On Load,8,1.0,2011-11-18T00:00:00,1.0.0,,11.0,1,,0,0,0,0,8.0,Low Threat
12,snow_golem,Peaceful,Player Summoned,4,3.0,2011-11-18T00:00:00,1.0.0,,,0,,0,1,0,1,12.0,Low Threat
13,wandering_trader,Peaceful,Random,20,0.0,2019-04-23T00:00:00,1.14.0,,,0,,0,0,0,0,0.0,Passive
14,witch,Hostile,Night,26,6.0,2012-10-25T00:00:00,1.4.2,,14.0,44,,0,7,0,7,156.0,Medium Threat
15,allay,Peaceful,Random,20,0.0,2022-06-07T00:00:00,1.19.0,,15.0,1,,0,0,0,0,0.0,Passive
16,axolotl,Peaceful,Random,14,2.0,2021-06-08T00:00:00,1.17.0,Bucket of Tropical Fish,16.0,1,,0,0,0,0,28.0,Low Threat
17,polarbear,Conditional,Random,30,6.0,2016-06-08T00:00:00,1.10.0,,17.0,5,17.0,2,0,0,2,180.0,Medium Threat
18,bee,Conditional,Random,10,2.0,2019-12-10T00:00:00,1.15.0,Dandelion,18.0,9,,0,0,0,0,20.0,Low Threat
19,camel,Peaceful,Random,32,0.0,2023-06-07T00:00:00,1.20.0,Cactus,19.0,1,,0,0,0,0,0.0,Passive
20,cat,Peaceful,Random,10,3.0,2012-03-01T00:00:00,1.2.1,Raw Salmon,20.0,8,,0,1,0,1,30.0,Low Threat
21,cow,Peaceful,Random,10,0.0,2011-11-18T00:00:00,1.0.0,Wheat,21.0,44,21.0,1,1,0,2,0.0,Passive
22,mooshroom,Peaceful,Random,10,0.0,2011-11-18T00:00:00,1.0.0,Wheat,22.0,1,22.0,1,2,0,3,0.0,Passive
23,creeper,Hostile,Night,20,43.0,2011-11-18T00:00:00,1.0.0,,23.0,44,,0,2,14,16,860.0,High Threat
24,dragon,Hostile,Player Summoned,200,10.0,2011-11-18T00:00:00,1.0.0,,24.0,5,,0,0,0,0,2000.0,High Threat
25,enderman,Conditional,Night,40,7.0,2011-11-18T00:00:00,1.0.0,,25.0,55,,0,1,0,1,280.0,Medium Threat
26,cod,Peaceful,Random,3,0.0,2018-07-18T00:00:00,1.13.0,,26.0,7,26.0,1,2,0,3,0.0,Passive
27,pufferfish,Peaceful,Random,3,3.0,2018-07-18T00:00:00,1.13.0,,27.0,3,,0,3,0,3,9.0,Low Threat
28,salmon,Peaceful,Random,3,0.0,2018-07-18T00:00:00,1.13.0,,28.0,6,28.0,1,1,0,2,0.0,Passive
29,tropical fish,Peaceful,Random,3,0.0,2018-07-18T00:00:00,1.13.0,,29.0,5,29.0,1,2,0,3,0.0,Passive
30,fox,Peaceful,Random,10,2.0,2019-04-23T00:00:00,1.14.0,Sweet Berries,30.0,5,,0,0,0,0,20.0,Low Threat
31,frog,Peaceful,Random,10,0.0,2022-06-07T00:00:00,1.19.0,SlimeBall,31.0,2,,0,0,0,0,0.0,Passive
32,ghast,Hostile,Random,10,17.0,2011-11-18T00:00:00,1.0.0,,32.0,3,,0,2,0,2,170.0,Medium Threat
33,goat,Peaceful,Random,10,2.0,2021-06-08T00:00:00,1.17.0,Wheat,33.0,3,,0,1,1,2,20.0,Low Threat
